,Unnamed: 0,coIndx,category,city,region,coNm,title,career,education,contract,r_date,coID,salary,addr
0,0,38262896,데이터분석,서울,강남구,㈜인텔리코드,"데이터분석개발정규직모집(신입,경력)",경력무관,대졸,정규직,0804,1428123607,"3,803","경기 수원시 영통구 광교로 105, 705호"
1,1,38251713,데이터분석,서울,관악구,프리윌린,데이터분석가(비즈니스분석가),경력3년,대졸,정규직,채용시,8348600713,"3,669","서울 관악구 관악로 217, 3층"
2,2,38399122,데이터분석,서울,성동구,(주)타파크로스,"소셜빅데이터분석가및마케팅기획,AE모집",경력무관,대졸,정규직,0831,2068630542,"3,653","서울 성동구 성수이로10길 14, 512호"
3,3,38369485,데이터분석,서울,강남구,(주)더원테크,빅데이터분석업무의프로그램개발자모십니다.,경력무관,대졸,정규직기간제,0825,5158150035,None,"경기 성남시 수정구 대왕판교로 815, 8층 837호"
4,4,38215768,데이터분석,서울,영등포구,(주)디에스랩글로벌,데이터분석가/데이터사이언티스트및마케터채용(신입/경력),경력무관,대졸,정규직,0725,4228801717,None,"서울 영등포구 국회대로70길 15-1, R동 510호"
5,5,38223650,데이터분석,서울,강남구,(주)앤서,빅데이터시스템구축및데이터분석엔지니어모집,경력무관,초대졸,정규직,0727,2118843136,"4,742","서울 강남구 삼성로104길 8, 6층"
6,6,38284671,데이터분석,서울,중구,주식회사 성진에이치디에스,최고의복지로함께성장할'데이터분석가'를찾습니다,경력무관,학력무관,정규직,0713,6228600629,"4,185","서울 중구 삼일대로 343, 16층 111호"
7,7,38352904,데이터분석,서울,강남구,(주)어센트코리아,SEO데이터분석(SEO무경력자지원가능)채용,경력2년,대졸,정규직,0723,1048652347,"3,748","서울 강남구 테헤란로2길 8, 5층 5호"
8,8,38193633,데이터분석,서울,강남구,(주)메큐라이크,광고데이터분석가(AdDataAnalyst)신입/경력채용,경력무관,학력무관,정규직,채용시,2118876923,"4,420","서울 강남구 삼성로 511, 16층"
9,9,38175492,데이터분석,서울,영등포구,콴텍(주),"[콴텍,금융]함께성장할금융데이터분석전문가모십니다.",경력3년,초대졸,정규직계약직,0717,1148680501,None,"서울 영등포구 여의대로 14, 14층"
10,10,38365672,데이터분석,서울,성동구,(주)제나,"뇌/맥파데이터분석,머신러닝알고리즘개발경력자모집",경력3년,대졸,정규직,0710,3208800921,"4,502","대구 달서구 성서공단로 46-17, 신기술산업지원센터 1동 모바일융합센터 4층 403호"
11,11,38372962,데이터분석,서울,마포구,데이터핏,빅데이터분석경력사원채용합니다(정규직),경력1년,학력무관,정규직,0728,6402600846,None,"서울 마포구 마포대로4나길 46, 2층 201호 E05"
12,12,38235787,데이터분석,서울,강남구,(주)엠로,"[경력직채용]신용평가모형,금융컨설팅,빅데이터분석",경력2년,대졸,정규직,0731,2208181381,"4,906","서울 영등포구 당산로41길 11, E동 5층"
13,13,38161358,데이터분석,서울,구로구,(주)나눔디지털디자인학원,빅데이터분석및빅데이터UI전문직업능력개발훈련교강사,경력1년,대졸,정규직전임,0713,6028601380,None,"서울 구로구 디지털로26길 5, 402호"
14,14,38176708,데이터분석,서울,구로구,(주)신나는세상,빅데이터분석컨설팅컨설턴트/분석가모집(PM/PL급),경력,대졸,정규직,0717,8318101057,"3,611",서울 구로구 디지털로30길 31
15,15,38170602,데이터분석,서울,강남구,㈜이씨마이너,빅데이터분석/AI솔루션개발-신입/경력모집,경력무관,대졸,정규직,0717,1088121609,"3,724","서울 강남구 도곡로 151, 3층"
16,16,38165330,데이터분석,서울,강남구,(주)토이스미스,데이터분석전문가&PM,경력2년,학력무관,정규직보충역,채용시,1138657313,"3,157","서울 강남구 논현로67길 23, 2층"
17,17,38298995,데이터분석,서울,마포구,(주)캐스팅엔,B2B데이터관리및분석전문가를모십니다.,경력무관,학력무관,정규직,0811,4238600075,"4,276","인천 부평구 대정로 66, 4층 408호"
18,18,38306558,데이터분석,서울,강남구,콘센트릭스서비스코리아(유),[디지털마케팅전문/콘센트릭스]데이터분석경력직채용,경력3년,대졸,정규직,0712,1048653370,None,
19,19,38356096,데이터분석,서울,구로구,디알엑스(주),LoL전력분석가/코치및데이터사이언티스트모집,경력무관,학력무관,정규직계약직,채용시,3528801475,None,
20,20,38308975,데이터분석,서울,강남구,(주)그루넷,2020상반기SAS빅데이터/DataAnalysis/Python/R추가인재모집,경력무관,대졸,정규직,0717,2648125337,"3,062","서울 강남구 논현로 507, 1315호"
21,21,38330560,데이터분석,서울,중구,(주)더식스데이,[돌로박스]DataAnalyst,경력무관,대졸,정규직,0817,6998100658,"2,935","서울 중구 필동로 15, 5층"
22,22,38179994,데이터분석,서울,서초구,크레돈(주),SalesDataAnalysisandOperationsAssistant(계약직1년+1년,경력,대졸,계약직,채용시,1138605455,"3,134","서울 구로구 디지털로34길 27, 507호"
23,23,38266442,데이터분석,서울,성동구,(주)시드원커뮤니케이션스,"[경력]영어권시장동향분석,자료조사및번역",경력1년,대졸,정규직,0804,1078660375,None,
24,24,38189113,데이터분석,서울,마포구,(주)매니즈,2020년하반기백엔드/DataAnalysis모집합니다,경력무관,학력무관,정규직,0719,8028701328,None,"대전 서구 월평북로 85, 520호"
